sep=|
"Name"|"Current balance"|"Account"|"Transfers"|"Description"|"Payee"|"Category"|"Date"|"Time"|"Memo"|"Amount"|"Currency"|"Check #"|"Tags"
"Mar.Caixa.0863.204081"|"16.275,80"|""|""|""|""|""|""|""|""|""|""|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CP MAESTRO"|"BigBoy Games"|"Tech > Audio Video > Video Games > Jogos"|"10/17/2019"|"12:00"|"deblob
marvel ultimate
legend of zelda awakening"|"-620,00"|"BRL"|""|"Nintendo Switch; "
""|""|"Mar.Caixa.0863.204081"|""|"CX PROGRAM"|"BetFair"|"Retorno Apostas"|"10/17/2019"|"12:00"|""|"50,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TEV"|"BetFair"|"Apostas"|"10/16/2019"|"12:00"|""|"-2.000,01"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TED"|""|"Gastos Gerais > Fotografia"|"10/14/2019"|"12:00"|"fotos no parque das primaveras"|"-400,00"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"DOC-IR"|"Gov - Receita Federal"|"Restituicao IR"|"10/14/2019"|"12:00"|""|"831,99"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TEV"|"BetFair"|"Apostas"|"10/10/2019"|"12:00"|""|"-1.000,01"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"DB AT TV"|"Net"|"Utilidades > TICs > Fixo, Utilidades > TICs > Internet, Utilidades > TICs > Celulares, Utilidades > TICs > TV"|"10/07/2019"|"12:00"|""|"-441,78"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|"Mar.NuBank"|"PAG BOLETO"|""|""|"10/07/2019"|"12:00"|""|"-1.402,49"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TEV"|"BetFair"|"Apostas"|"10/01/2019"|"12:00"|""|"-199,87"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"GR Luiza"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"10/01/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Luíza; "
""|""|"Mar.Caixa.0863.204081"|""|"GR Helena"|"Escola Franciscana Fátima"|"Criancas > Esportes"|"10/01/2019"|"12:00"|""|"-145,00"|"BRL"|""|"Helena; "
""|""|"Mar.Caixa.0863.204081"|""|"Escola Mensalidade"|"Escola Franciscana Fátima"|"Criancas > Educacao > Escola - Mensalidade"|"10/01/2019"|"12:00"|""|"-2.187,48"|"BRL"|""|""
""|""|"Mar.Caixa.0863.204081"|""|"CT SALARIO"|"Gov - Ministerio Do Planejamento"|"Salario Liquido"|"10/01/2019"|"12:00"|""|"9.127,29"|"BRL"|""|"Marcelo; "
""|""|"Mar.Caixa.0863.204081"|""|"ENVIO TED"|"Hotel Parque Das Primaveras"|"Diversao > Hospedagem"|"09/30/2019"|"12:00"|""|"-1.210,00"|"BRL"|""|"Viagem Caldas 201910; "
""|""|"Mar.Caixa.0863.204081"|""|"PAG AGUA"|"Gov - Caesb"|"Utilidades > Agua"|"09/17/2019"|"12:00"|""|"-109,44"|"BRL"|""|"Casa 708 Sul; "
""|""|"Mar.Caixa.0863.204081"|""|"DP DIN LOT"|""|"Vendas > Roupas"|"09/12/2019"|"12:00"|""|"55,00"|"BRL"|""|""
